,preprocessed_Tokens,Scores
1515,05m/year,-100
1516,120k,-291
1517,1m,-340
1518,21m,-60
1519,3m,-60
1520,41m,-734
1521,6m,-60
1522,01,-2068
1523,05fte,1669
1524,;,-100
1525,01/10/2011-30/09/2015,-100
1526,;,-100
1527,;,-100
1528,01/2008-07/2013,-100
1529,02/03/2012,-340
1530,3,60
1531,6,60
1532,;,-100
1533,;,-100
1534,;,-100
1535,1,-47564
1536,1,-7728
1537,1,-4840
1538,1,-7480
1539,1,-8820
1540,1,14280
1541,1,4480
1542,1,-27500
1543,1,-16660
1544,1,-53244
1545,1,-3800
1546,1,1520
1547,1,-9380
1548,1,-572
1549,1,-11468
1550,1,-3300
1551,1,-30828
1552,1,-28980
1553,1,-43600
1554,1,-1120
1555,1,-30944
1556,1,0
1557,1,56746
1558,1,-16500
1559,1,-900
1560,1,-440
